タスクID,担当,モデル,入力,出力,キャッシュ書込,キャッシュ読出,合計,返答回数,セッションID,記録元,最終更新
T-0,オーケストレーター,claude-opus-5,26,10560,12893,4172328,4195807,13,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-001,オーケストレーター,claude-opus-5,42,11795,14673,2215262,2241772,21,317801c9-951e-479d-a171-26a8096c6b0b,main,2026-09-02
T-001,オーケストレーター,claude-sonnet-5,48,21599,37835,5973616,6033098,24,c0dcae14-7a57-4244-a39f-fa823d5e06c4,main,2026-09-02
T-002,オーケストレーター,claude-opus-5,2,1026,1697,156563,159288,1,2dbb1eb4-d644-438d-bc45-3cd92ab686c0,main,2026-09-02
T-002,オーケストレーター,claude-opus-5,2,1445,546,108361,110354,1,317801c9-951e-479d-a171-26a8096c6b0b,main,2026-09-02
T-002,オーケストレーター,claude-opus-5,48,23543,31388,2870115,2925094,24,364d7dc9-a732-46f1-94fb-23ed574133a1,main,2026-09-02
T-002,オーケストレーター,claude-opus-5,80,63011,82434,6050117,6195642,40,8902c8ae-64e6-414b-951f-da68b29853af,main,2026-09-02
T-002,オーケストレーター,claude-opus-5,4,1299,72192,122887,196382,2,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-003,オーケストレーター,claude-opus-5,2,1715,1476,108907,112100,1,317801c9-951e-479d-a171-26a8096c6b0b,main,2026-09-02
T-003,オーケストレーター,claude-opus-5,10,3990,10041,506690,520731,5,364d7dc9-a732-46f1-94fb-23ed574133a1,main,2026-09-02
T-003,オーケストレーター,claude-opus-5,82,73603,165565,7510503,7749753,41,8902c8ae-64e6-414b-951f-da68b29853af,main,2026-09-02
T-003,オーケストレーター,claude-opus-5,8,6103,9568,623519,639198,4,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-02
T-004,オーケストレーター,claude-opus-5,24,13352,35205,1459086,1507667,12,364d7dc9-a732-46f1-94fb-23ed574133a1,main,2026-09-02
T-005,オーケストレーター,claude-opus-5,70,49084,151880,4315644,4516678,35,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-02
T-005,オーケストレーター,claude-opus-5,20,9064,11701,1129758,1150543,10,317801c9-951e-479d-a171-26a8096c6b0b,main,2026-09-02
T-005,オーケストレーター,claude-opus-5,2,1603,1178,137112,139895,1,364d7dc9-a732-46f1-94fb-23ed574133a1,main,2026-09-02
T-005,オーケストレーター,claude-opus-5,2,3854,296,175875,180027,1,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-02
T-006,オーケストレーター,claude-opus-5,190,83680,112348,14888709,15084927,95,2b39ed21-5c96-43ab-ad8d-c9ab325015c0,main,2026-09-02
T-006,オーケストレーター,claude-opus-5,26,13776,28248,1948630,1990680,13,2dbb1eb4-d644-438d-bc45-3cd92ab686c0,main,2026-09-02
T-006,オーケストレーター,claude-opus-5,2,1051,98160,26136,125349,1,92969bff-754c-4e34-acf1-65d0158110f8,main,2026-09-02
T-006,オーケストレーター,claude-opus-5,10,8253,4164,917021,929448,5,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-006,オーケストレーター,claude-opus-5,64,41539,82380,4530811,4654794,32,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-02
T-007,オーケストレーター,claude-opus-5,4,5302,6252,278696,290254,2,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-02
T-007,オーケストレーター,claude-opus-5,68,27441,98593,4081409,4207511,34,2dbb1eb4-d644-438d-bc45-3cd92ab686c0,main,2026-09-02
T-007,オーケストレーター,claude-opus-5,28,29423,47131,3999046,4075628,14,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-007,オーケストレーター,claude-opus-5,2,7721,598,137296,145617,1,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-02
T-008,オーケストレーター,claude-opus-5,2,2234,3102,140923,146261,1,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-02
T-009,org-implementation,claude-opus-5,132,18924,277928,6328539,6625523,66,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ab94cb4b1662dd558,2026-09-02
T-009,org-review,claude-opus-5,84,32051,486756,4707316,5226207,42,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ac14ec33b0290afd7,2026-09-02
T-009,org-test,claude-opus-5,120,27927,315500,5559035,5902582,60,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-a7e247599e4cfdbc6,2026-09-02
T-009,オーケストレーター,claude-opus-5,2,2612,2265,144025,148904,1,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-02
T-009,オーケストレーター,claude-opus-5,98,56668,121084,6291612,6469462,49,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-010,org-implementation,claude-opus-5,138,25596,327540,6859805,7213079,69,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-af73acfed4d051800,2026-09-02
T-010,org-test,claude-opus-5,84,26060,277361,3612525,3916030,42,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ab0b8718de2b4e4d5,2026-09-02
T-010,org-test,claude-opus-5,170,32343,364031,9531735,9928279,85,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ac6ebcda27a79af0e,2026-09-02
T-010,オーケストレーター,claude-opus-5,94,99425,130635,8721549,8951703,47,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-011,org-implementation,claude-opus-5,190,49334,484484,13791480,14325488,95,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a9fbed97191ea5826,2026-09-02
T-011,org-test,claude-opus-5,152,73165,406255,10330767,10810339,76,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ab11d87381005f2a5,2026-09-02
T-011,オーケストレーター,claude-opus-5,2,3956,2643,146290,152891,1,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-02
T-011,オーケストレーター,claude-opus-5,54,53873,85174,7962978,8102079,27,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-011,オーケストレーター,claude-opus-5,8,4508,12564,427686,444766,4,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-02
T-013,オーケストレーター,claude-opus-5,14,10030,17058,1101586,1128688,7,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-02
T-013,オーケストレーター,claude-opus-5,14,7386,10590,990856,1008846,7,2dbb1eb4-d644-438d-bc45-3cd92ab686c0,main,2026-09-02
T-013,オーケストレーター,claude-opus-5,4,4712,16354,367937,389007,2,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-02
T-014,org-implementation,claude-opus-5,234,46931,354014,13182097,13583276,117,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-a6b46ae4bb46cb436,2026-09-02
T-014,オーケストレーター,claude-opus-5,42,34373,50038,3570798,3655251,21,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-015,オーケストレーター,claude-opus-5,14,24032,27796,1437856,1489698,7,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-02
T-016,org-documentation,claude-opus-5,186,33639,476843,9354542,9865210,93,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a3fc219bda7176991,2026-09-02
T-016,オーケストレーター,claude-opus-5,20,24217,26422,1636855,1687514,10,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-02
T-017,org-implementation,claude-opus-5,18,1163,193367,435636,630184,9,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a4da5fdd679f33f82,2026-09-02
T-017,org-test,claude-opus-5,112,40572,277728,5169943,5488355,56,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a7c2d133b52de59c0,2026-09-02
